OBJECTID,ERC_ID,OBJECTID_1,ERC_ID_1,INCIDENT_TYPE,INCIDENT_STATUS,COMMS_COMMENT,ROAD_CLOSURE_TYPE,DECLARED_ROAD_NUMBER,DECLARED_ROAD_NAME,DECLARED_ROAD_DIRECTION,CLOSED_ROAD_NAME,CLOSED_ROAD_SRNS,CLOSED_ROAD_RMA_CLASS,CLOSED_ROAD_LGA,CLOSED_ROAD_VR_REGION,CLOSED_ROAD_SES_REGION,CLOSED_ROAD_TRAM,CLOSED_ROAD_BUS,INCIDENT_DISTANCE,INCIDENT_DIRECTION,INCIDENT_INT_ROAD_NAME,INCIDENT_LOCALITY,INCIDENT_MELWAY,INCIDENT_VCSD,START_INT_ROAD_NAME,START_INT_LOCALITY,END_INT_ROAD_NAME,END_INT_LOCALITY,DT_CREATED,DT_UPDATED,DT_PUBLISH_UNTIL,DT_LAST_LN_UPDATE,POINT_TYPE
2259,ERC024148,16223,ERC024148,Vehicle Collision,inactive,All lanes open after vehicle collision. ,Road Closed,5299,HAWTHORN ROAD,forward,HAWTHORN ROAD,,AO,GLEN EIRA,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),"67, 64",623,0,South,,CAULFIELD,68A3,79B8,GLEN HUNTLY ROAD,CAULFIELD,GLEN EIRA ROAD,CAULFIELD,31/12/2014 15:42:09,31/12/2014 17:09:59,31/12/2014 17:24:58,31/12/2014 17:09:59,MIDPOINT
2260,ERC024160,16244,ERC024160,Fire,inactive,Road closed between Pomonal Road and Byron Road due to fire. Drivers are advised to avoid the area. For fire updates please visit www.cfa.vic.gov.au ,Road Closed,5136,ARARAT-HALLS GAP ROAD,forward,ARARAT-HALLS GAP ROAD,C222,AO,ARARAT,WESTERN,BARWON (SOUTH WEST),,,60,South,,POMONAL,,56D5,POMONAL ROAD,POMONAL,BYRON ROAD,CATHCART,02/01/2015 14:14:40,04/01/2015 17:37:38,04/01/2015 18:37:37,02/01/2015 14:19:06,MIDPOINT
2261,ERC024162,16075,ERC024162,Fire,inactive,Road closed between Moyston and Rhymney due to fire. Drivers are advised to avoid the area. For fire updates please visit www.cfa.vic.gov.au ,Road Closed,,,forward,MOYSTON-GREAT WESTERN ROAD,,MU,ARARAT,WESTERN,GRAMPIANS (MID WEST),,,0,NorthEast,,MOYSTON,,56F5,ARARAT-HALLS GAP ROAD,MOYSTON,RHYMNEY ROAD,RHYMNEY,02/01/2015 14:22:43,04/01/2015 17:37:33,04/01/2015 17:52:32,02/01/2015 14:26:15,MIDPOINT
2264,ERC016900,11087,ERC016900,Fire,inactive,,Road Closed - Emergency Services Access Only,3001,BENAMBRA-CORRYONG ROAD,forward,BENAMBRA-CORRYONG ROAD,C545,AO,EAST GIPPSLAND,EASTERN,HUME (NORTH EAST),,,0,South,,NARIEL VALLEY,,51D5,TURNBACK CREEK TRACK,NARIEL VALLEY,R W A P TRACK,NARIEL VALLEY,20/01/2014 09:31:47,03/02/2014 12:43:33,03/02/2014 13:43:25,03/02/2014 12:43:29,MIDPOINT
2265,ERC017611,11915,ERC017611,Fire,inactive,Road closed. Drivers are advised to avoid travel to the area. For fire updates please visit www.cfa.vic.gov.au ,Road Closed - Residents Access Only,,,forward,BEAUVIEW DRIVE,,MU,MITCHELL,NORTHERN,MELBOURNE METROPOLITAN (CENTRAL),,,0,West,,WALLAN,,60H8,OLD SYDNEY ROAD,WALLAN,OLD SYDNEY ROAD,WALLAN,13/02/2014 15:00:27,13/02/2014 17:57:30,13/02/2014 18:12:28,13/02/2014 17:57:30,MIDPOINT
2266,ERC017229,11497,ERC017229,Emergency Works,inactive,All lanes clear in service lane outbound between Grattan St and Elizabeth Street after utility works.,Traffic Alert,5044,FLEMINGTON ROAD,forward,FLEMINGTON ROAD,,AO,MELBOURNE,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),"55, 59","546, 402, 479, 401, 942, 954, 505",0,SouthEast,,MELBOURNE,43F4,78H6,WRECKYN STREET,NORTH MELBOURNE,ELIZABETH STREET,MELBOURNE,03/02/2014 14:07:29,03/02/2014 15:55:16,03/02/2014 16:10:14,03/02/2014 15:55:16,MIDPOINT
2267,ERC020176,12964,ERC020176,Emergency Works,inactive,Road now OPEN between Western Ring Road and Glenroy Road after an earlier gas leak. ,Road Closed,5819,PASCOE VALE ROAD,reverse,PASCOE VALE ROAD,,AO,"HUME, MORELAND",METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,954,0,North,FINCHLEY AVENUE,GLENROY,16G2,78G5,WESTERN RING ROAD,BROADMEADOWS,GLENROY ROAD,GLENROY,26/06/2014 09:22:03,26/06/2014 10:46:20,26/06/2014 11:16:11,26/06/2014 10:46:20,INCIDENT
2268,ERC024292,16579,ERC024292,Emergency Works,inactive,All lanes open northbound between Hanke Road and Doncaster Road after earlier utility works. ,Traffic Alert,5320,STATION STREET,forward,TRAM ROAD,,AO,MANNINGHAM,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"902, 903, 907, 961, 966, 281, 293, 201, 207",0,South,,DONCASTER,47D2,79C6,HANKE ROAD,DONCASTER,WILLIAMSONS ROAD,DONCASTER,08/01/2015 09:41:16,08/01/2015 16:31:55,08/01/2015 16:46:28,08/01/2015 16:31:55,MIDPOINT
2269,ERC024294,16580,ERC024294,Emergency Works,inactive,All lanes open eastbound between High Street and Anderson Street after earlier water works. ,Traffic Alert,5345,NORTHERN ROUTE,forward,FOOTE STREET,,AO,MANNINGHAM,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"961, 281, 286, 309, 201, 279",0,West,,TEMPLESTOWE LOWER,33D5,79C6,HIGH STREET,TEMPLESTOWE LOWER,SERPELLS ROAD,TEMPLESTOWE,08/01/2015 09:47:40,08/01/2015 17:04:25,08/01/2015 17:19:15,08/01/2015 17:04:25,MIDPOINT
2272,ERC026020,18052,ERC026020,Emergency Incident,inactive,Road now open in both directions near Glen Huntly train station. ,Road Closed,,,forward,GLEN HUNTLY ROAD,,MU,GLEN EIRA,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),67,,0,West,ROYAL AVENUE,GLEN HUNTLY,68E5,79B8,MANCHESTER GROVE,GLEN HUNTLY,GRANGE ROAD,CARNEGIE,01/04/2015 09:32:02,01/04/2015 12:46:22,01/04/2015 12:46:07,01/04/2015 12:46:22,INCIDENT
2273,ERC016670,12227,ERC016670,Fire,inactive,UPDATE: Road closed between Wartook Rise and Reed Lookout. Emergency Services are on site. Drivers travelling through the area are advised to seek an alternate route.Drivers should take care as visibility may be difficult in the area. Essential travel only.,Road Closed,4002,NORTHERN GRAMPIANS ROAD,forward,NORTHERN GRAMPIANS ROAD,C222,AO,"NORTHERN GRAMPIANS, HORSHAM",WESTERN,GRAMPIANS (MID WEST),,,0,,,WARTOOK,,55J4,WARTOOK RISE,WARTOOK,SILVERBAND ROAD,BELLFIELD (GRAMPIANS),29/01/2014 12:15:37,10/02/2014 13:49:10,10/02/2014 13:48:36,10/02/2014 13:48:57,MIDPOINT
2275,ERC020894,14004,ERC020894,Emergency Works,inactive,All lanes clear eastbound between Swanston St ,Traffic Alert,5082,VICTORIA STREET,forward,VICTORIA STREET,,AO,MELBOURNE,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),"16, 1, 3, 8, 3a, 72, 5, 64, 67, 6","203, 956, 201, 479, 207, 200",0,West,,CARLTON,43H6,78H6,SWANSTON STREET,CARLTON,LYGON STREET,MELBOURNE,31/07/2014 09:38:26,31/07/2014 16:51:55,31/07/2014 17:06:54,31/07/2014 16:51:55,MIDPOINT
2276,ERC021223,13623,ERC021223,Vehicle Collision,inactive,UPDATE: Road closed between Dundas Gap Road and Walshs Road due to a collision. Emergency Services are on site. Drivers travelling through the area are advised to seek an alternate route. ,Road Closed,5140,NATIMUK-HAMILTON ROAD,forward,NATIMUK-HAMILTON ROAD,C188,AO,SOUTHERN GRAMPIANS,SOUTH WESTERN,BARWON (SOUTH WEST),,,0,North,,CAVENDISH,,54H9,DUNDAS GAP ROAD,CAVENDISH,WALSHS ROAD,CAVENDISH,18/08/2014 17:31:25,18/08/2014 23:17:08,18/08/2014 23:31:36,18/08/2014 23:17:07,MIDPOINT
2277,ERC023986,15762,ERC023986,Police Incident,inactive,Road now open between Pebble Beach Drive and Wedge Road after an earlier police incident. ,Road Closed,,,forward,RUNDLE DRIVE,,MU,FRANKSTON,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,832,0,North,,CARRUM DOWNS,98J11,95E3,PEBBLE BEACH DRIVE,CARRUM DOWNS,WEDGE ROAD,CARRUM DOWNS,18/12/2014 12:52:41,18/12/2014 16:19:06,18/12/2014 16:33:52,18/12/2014 16:19:05,MIDPOINT
2278,ERC018904,10731,ERC018904,Emergency Works,inactive,All lanes open inbound between Pigdon Street and Reid Street after earlier sewer works. ,Traffic Alert,5736,NICHOLSON STREET,reverse,NICHOLSON STREET,,AO,YARRA,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),96,504,0,North,,CARLTON NORTH,30A12,78H6,PIGDON STREET,CARLTON NORTH,REID STREET,CARLTON NORTH,24/04/2014 10:17:23,24/04/2014 16:26:52,24/04/2014 16:41:39,24/04/2014 16:26:52,MIDPOINT
2279,ERC019028,11250,ERC019028,Emergency Works,inactive,Left-hand lane closed southbound between Ballarat Road and Rooney Street due to drainage works. Speed limit reduced to 40km/h. Works expected to be completed by 10:00pm. Drivers travelling through the area are advised to allow extra time. ,Traffic Alert,5459,CHURCHILL AVENUE,reverse,CHURCHILL AVENUE,,AO,MARIBYRNONG,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,"942, 408, 410, 215",0,NorthEast,,MAIDSTONE,27F12,78F6,BALLARAT ROAD,MAIDSTONE,ROONEY STREET,MAIDSTONE,01/05/2014 14:51:23,01/05/2014 19:42:10,01/05/2014 19:57:09,01/05/2014 14:52:52,MIDPOINT
2280,ERC019029,12355,ERC019029,Emergency Works,inactive,All lanes now open outbound between Eastlink and Frankston-Dandenong Road after earlier barrier works. ,Traffic Alert,2601,MORNINGTON PENINSULA FREEWAY,forward,MORNINGTON PENINSULA FREEWAY,M11,FW,FRANKSTON,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"778, 901",0,North,,CARRUM DOWNS,100B5,95D3,EASTLINK OUT-RUTHERFORD RAMP OF,CARRUM DOWNS,FRANKSTON-DANDENONG ROAD,CARRUM DOWNS,01/05/2014 15:39:09,01/05/2014 16:50:36,01/05/2014 17:19:55,01/05/2014 16:50:36,MIDPOINT
2281,ERC020435,13322,ERC020435,Weather,inactive,Road now open between Mitta Mitta and Glen Wills. ,Road Closed,2560,OMEO HIGHWAY,forward,OMEO HIGHWAY,C543,AO,"TOWONG, EAST GIPPSLAND","NORTH EASTERN, EASTERN",HUME (NORTH EAST),,,1654,South,DUNSTANS LOG ROAD,MITTA MITTA,,50J5,KNOCKER TRACK,GLEN VALLEY,DUNSTANS LOG ROAD,MITTA MITTA,09/07/2014 14:42:52,11/07/2014 11:00:53,11/07/2014 12:00:49,11/07/2014 11:00:53,INCIDENT
2284,ERC024639,16969,ERC024639,Emergency Works,inactive,All lanes open northbound between Waverley Road and Mountainfield Road after earlier water works. ,Traffic Alert,2070,WARRIGAL HIGHWAY,forward,WARRIGAL ROAD,,AH,"STONNINGTON, MONASH",METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"623, 624, 903, 767",0,South,,CHADSTONE,69F2,79C8,WAVERLEY ROAD,CHADSTONE,MOUNTFIELD AVENUE,CHADSTONE,23/01/2015 08:59:35,23/01/2015 14:23:28,23/01/2015 14:23:26,23/01/2015 14:23:27,MIDPOINT
2285,ERC017300,11892,ERC017300,Emergency Works,inactive,All lanes open between Cobden Street and Peel Street after earlier power works. ,Traffic Alert,,,forward,QUEENSBERRY STREET,,MU,MELBOURNE,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),55,546,0,West,,MELBOURNE,43F5,78H6,COBDEN STREET,NORTH MELBOURNE,PEEL STREET,NORTH MELBOURNE,06/02/2014 11:46:19,06/02/2014 17:12:47,06/02/2014 17:27:35,06/02/2014 17:12:47,MIDPOINT
2286,ERC020547,13333,ERC020547,Vehicle Collision,inactive,All lanes clear between Byron St and Donald St after a vehicle collision. ,Road Closed,5456,MOORE STREET,forward,MOORE STREET,,AO,MARIBYRNONG,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,"404, 406, 409, 942",0,South,,FOOTSCRAY,42D4,78G6,BYRON STREET,FOOTSCRAY,DONALD STREET,FOOTSCRAY,15/07/2014 15:58:46,15/07/2014 17:28:34,15/07/2014 18:28:31,15/07/2014 17:28:33,MIDPOINT
2287,ERC019225,11006,ERC019225,Emergency Incident,inactive,Road now open.,Road Closed,5910,CAMPBELLFIELD-GREENSBOROUGH ROAD,forward,GRIMSHAW STREET,,AO,BANYULE,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,"902, 958, 566",0,West,,BUNDOORA,20A1,79C5,OXFORD DRIVE,BUNDOORA,PATRICIA AVENUE,BUNDOORA,12/05/2014 19:12:45,12/05/2014 19:36:23,12/05/2014 19:36:19,12/05/2014 19:36:22,MIDPOINT
2288,ERC023261,15926,ERC023261,Emergency Works,inactive,All lanes now open between Davey St and Union St after earlier water works.   ,Traffic Alert,5299,HAWTHORN ROAD,forward,HAWTHORN ROAD,,AO,BAYSIDE,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),64,626,0,South,,BRIGHTON EAST,67K9,79B8,UNION STREET,BRIGHTON EAST,DAVEY AVENUE,BRIGHTON EAST,21/11/2014 03:32:29,21/11/2014 14:50:02,21/11/2014 15:05:00,21/11/2014 14:50:02,MIDPOINT
2289,ERC022061,14943,ERC022061,Emergency Works,inactive,All lanes open northbound between Fitzgerald Road and Western Ring Road after earlier NBN works. ,Traffic Alert,5137,FITZGERALD ROAD,forward,FITZGERALD ROAD,,AO,"BRIMBANK, WYNDHAM",METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,417,0,South,,DERRIMUT,39H8,78E6,BOUNDARY ROAD,DERRIMUT,WESTERN RING ROAD,DERRIMUT,26/09/2014 08:30:43,26/09/2014 17:32:05,26/09/2014 17:46:32,26/09/2014 17:32:05,MIDPOINT
2290,ERC024401,16619,ERC024401,Vehicle Collision,inactive,Road open after vehicle collision. ,Road Closed,2780,HAMILTON HIGHWAY,forward,HAMILTON HIGHWAY,B140,AH,"GOLDEN PLAINS, GEELONG",SOUTH WESTERN,BARWON (SOUTH WEST),,,0,,,MURGHEBOLUC,439B9,93E3,BURNSIDE ROAD,MURGHEBOLUC,FRIEND IN HAND ROAD,FYANSFORD,12/01/2015 19:10:08,13/01/2015 08:11:18,13/01/2015 08:26:16,13/01/2015 08:11:17,MIDPOINT
2291,ERC025095,16973,ERC025095,Vehicle Collision,inactive,All lanes open after a vehicle collision. ,Road Closed,2520,WESTERN HIGHWAY,forward,WESTERN HIGHWAY,A8,AH,HINDMARSH,WESTERN,GRAMPIANS (MID WEST),,,0,SouthEast,,DIMBOOLA,,25F7,DIMBOOLA-RAINBOW ROAD,DIMBOOLA,NELSON STREET,NHILL,16/02/2015 17:10:45,16/02/2015 18:22:28,16/02/2015 18:37:27,16/02/2015 18:22:28,MIDPOINT
2295,ERC017558,12263,ERC017558,Fire,inactive,Road closed between Paynes Road and Mill Road.Drivers are advised to avoid travel to the area. For fire updates please visit www.cfa.vic.gov.au ,Road Closed - Residents Access Only,,,forward,GEHREYS LANE,,MU,MITCHELL,NORTHERN,LODDON MALLEE (NORTH WEST),,,0,West,,KILMORE,,60H7,PAYNES ROAD,FORBES,MILL ROAD,KILMORE,12/02/2014 20:36:09,13/02/2014 14:47:10,13/02/2014 15:02:06,13/02/2014 14:47:10,WHOLE
2296,ERC018305,11132,ERC018305,Debris,inactive,Road now open between Frankston-Flinders Road and Eramosa Road after repairs made to fallen power lines. ,Road Closed,5715,COOLART ROAD,forward,COOLART ROAD,C785,AO,MORNINGTON PENINSULA,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"783, 782",0,South,,BAXTER,107A11,95D5,FRANKSTON-FLINDERS ROAD,BAXTER,ERAMOSA ROAD,MOOROODUC,26/03/2014 09:09:30,26/03/2014 14:58:19,26/03/2014 15:58:04,26/03/2014 14:58:20,MIDPOINT
2298,ERC020231,13293,ERC020231,Police Incident,inactive,St Kilda Rd has now reopened  between Grant St and Southbank Bld.,Road Closed,5882,ST KILDA ROAD,forward,ST KILDA ROAD,,AO,MELBOURNE,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),"16, 1, 3, 8, 3a, 72, 5, 64, 67, 6","970, 980, 216, 219, 220",0,North,,MELBOURNE,43J11,78H7,SOUTHBANK BOULEVARD,SOUTHBANK,GRANT STREET,SOUTHBANK,28/06/2014 09:57:37,28/06/2014 18:15:19,28/06/2014 19:15:17,28/06/2014 18:15:20,MIDPOINT
2299,ERC020234,12968,ERC020234,Weather,inactive,Omeo Highway is now open between Mitta Mitta and Omeo after snowy conditions. ,Road Closed,2560,OMEO HIGHWAY,forward,OMEO HIGHWAY,C543,AO,TOWONG,NORTH EASTERN,HUME (NORTH EAST),,,0,East,,MITTA MITTA,,50J4,WOMBAT GULLY ROAD,MITTA MITTA,DUNSTANS LOG ROAD,MITTA MITTA,28/06/2014 18:11:53,30/06/2014 08:04:37,30/06/2014 09:04:35,30/06/2014 08:04:36,MIDPOINT
2300,ERC023732,15958,ERC023732,Flood,inactive,Road closed due to flooding. Drivers are advised to seek an alternate route. ,Road Closed,5613,BENGWORDEN ROAD,forward,BENGWORDEN ROAD,C106,AO,WELLINGTON,EASTERN,GIPPSLAND (EAST),,,0,South,,PERRY BRIDGE,,99D2,STRATFORD-BENGWORDEN ROAD,PERRY BRIDGE,BENGWORDEN ROAD,CLYDEBANK,09/12/2014 10:45:25,10/12/2014 08:55:02,10/12/2014 09:54:52,10/12/2014 08:54:59,MIDPOINT
2301,ERC024018,15713,ERC024018,Fire,inactive,Derrick Road closed between Parker Road and Binnie Road due to fire. Drivers are advised to avoid the area. ,Road Closed,,,forward,DERRICK ROAD,,MU,"MOIRA, BENALLA",NORTH EASTERN,HUME (NORTH EAST),,,0,North,,BOWEYA,,34C6,PARKER ROAD,BOWEYA,BINNIE ROAD,BOWEYA,18/12/2014 16:21:32,23/12/2014 08:55:55,23/12/2014 09:10:54,23/12/2014 08:55:55,MIDPOINT
2302,ERC024020,15731,ERC024020,Fire,inactive,Boweya-St James Road closed between Boweya Road and Miller Road due to fire. Drivers are advised to avoid the area. ,Road Closed,,,forward,BOWEYA-ST JAMES ROAD,,MU,"MOIRA, WANGARATTA, BENALLA",NORTH EASTERN,HUME (NORTH EAST),,,0,West,,BOWEYA,,34B6,BOWEYA ROAD,BOWEYA,MILLER ROAD,BUNGEET,18/12/2014 16:24:03,23/12/2014 08:56:08,23/12/2014 09:11:06,23/12/2014 08:56:08,MIDPOINT
2303,ERC024150,16615,ERC024150,Vehicle Collision,inactive,South Rd is closed eastbound between Hampton St ,Road Closed,5845,SOUTH ROAD,forward,SOUTH ROAD,,AO,BAYSIDE,METRO SOUTH EAST,MELBOURNE METROPOLITAN (CENTRAL),,"811, 812",0,West,,BRIGHTON,76G3,79B8,HAMPTON STREET,BRIGHTON,ROSLYN STREET,BRIGHTON,01/01/2015 07:08:33,01/01/2015 14:21:34,01/01/2015 14:36:30,01/01/2015 14:21:33,MIDPOINT
2304,ERC026818,17887,ERC026818,Emergency Works,inactive,D24 advise due to car bringing down power pole highway will be closed until further notice. Power company will be replacing pole and wires.Detour will be along BoortKoi Rd onto Hexham-Chatsworth Rd for both east and west bound traffic. Motorist are advised to drive carefully.  ,Traffic Alert,2780,HAMILTON HIGHWAY,forward,HAMILTON HIGHWAY,B140,AH,MOYNE,SOUTH WESTERN,BARWON (SOUTH WEST),,,0,SouthEast,,CARAMUT,,74D9,BOORTKOI ROAD,CARAMUT,HEXHAM-CHATSWORTH ROAD,HEXHAM,08/05/2015 22:56:26,09/05/2015 00:11:16,09/05/2015 00:26:10,09/05/2015 00:11:13,MIDPOINT
2305,ERC026732,17496,ERC026732,Vehicle Collision,inactive,UPDATE: One westbound lane remains closed between Albert St and Chifley Dr due to vehicle collision. Emergency crews are on-site. LAnes expected to reopen at 9:00pm. Drivers advised to allow extra time. ,1 lane closed westbound,2400,STATE (BELL/SPRINGVALE) HIGHWAY,forward,BELL STREET,,AH,DAREBIN,METRO NORTH WEST,MELBOURNE METROPOLITAN (CENTRAL),,"567, 513, 251",0,West,,PRESTON,31A2,79B5,ALBERT STREET,PRESTON,CHIFLEY DRIVE,PRESTON,06/05/2015 12:57:17,06/05/2015 22:27:22,06/05/2015 22:27:21,06/05/2015 22:27:23,MIDPOINT
2306,ERC020494,13288,ERC020494,Weather,inactive,Road closed from Tin Hut Dve to Misery Rd in Benambra due to heavy snow. For further information please contact East Gippsland Shire.,Road Closed,,,forward,LIMESTONE ROAD,,MU,EAST GIPPSLAND,EASTERN,GIPPSLAND (EAST),,,636,SouthWest,NUNNIONG ROAD,COBBERAS,,52E9,WOMBARGO TRACK,WULGULMERANG,BENAMBRA-LIMESTONE ROAD,COBBERAS,11/07/2014 12:31:11,29/09/2014 10:44:56,29/09/2014 10:59:49,29/09/2014 10:44:56,INCIDENT
